start_station_name,probability
South Waterfront Walkway - Sinatra Dr & 1 St,0.044679446
Grove St PATH,0.043504438
Hoboken Terminal - Hudson St & Hudson Pl,0.033628542
Hoboken Terminal - River St & Hudson Pl,0.029831615
Newport Pkwy,0.027034901
City Hall - Washington St & 1 St,0.026355144
Newport PATH,0.02547146
12 St & Sinatra Dr N,0.024422692
Hoboken Ave at Monmouth St,0.023684671
Marin Light Rail,0.023529298
Hamilton Park,0.022985492
14 St Ferry - 14 St & Shipyard Ln,0.021616268
Liberty Light Rail,0.020256754
Columbus Dr at Exchange Pl,0.019285673
Harborside,0.018664181
11 St & Washington St,0.017644545
Washington St,0.017265824
Sip Ave,0.017032764
Hudson St & 4 St,0.016955078
8 St & Washington St,0.015750937
Madison St & 1 St,0.015488745
City Hall,0.015216842
Warren St,0.014605061
Newark Ave,0.014304026
Columbus Park - Clinton St & 9 St,0.013381499
Grand St & 14 St,0.013216415
Church Sq Park - 5 St & Park Ave,0.012944512
Columbus Drive,0.012866826
Van Vorst Park,0.012565791
Clinton St & Newark St,0.012332731
Grand St,0.012128804
Paulus Hook,0.012021985
Manila & 1st,0.012002564
9 St HBLR - Jackson St & 8 St,0.01136165
Bloomfield St & 15 St,0.011099458
4 St & Grand St,0.011099458
7 St & Monroe St,0.011080037
JC Medical Center,0.010905242
Clinton St & 7 St,0.01075958
Willow Ave & 12 St,0.009992426
Morris Canal,0.009963293
McGinley Square,0.009943872
Brunswick & 6th,0.009526307
Jersey & 3rd,0.009380644
Brunswick St,0.009370934
Baldwin at Montgomery,0.009341801
Adams St & 2 St,0.00933209
Southwest Park - Jackson St & Observer Hwy,0.009283536
Marshall St & 2 St,0.009060188
Journal Square,0.00884655
Madison St & 10 St,0.008700888
6 St & Grand St,0.007972577
Dixon Mills,0.00753559
Lafayette Park,0.007487036
Riverview Park,0.007438482
Stevens - River Ter & 6 St,0.007399639
Mama Johnson Field - 4 St & Jackson St,0.007389928
Pershing Field,0.007360796
Hilltop,0.007253977
Jersey & 6th St,0.007224844
Essex Light Rail,0.007108314
Monmouth and 6th,0.006632485
Oakland Ave,0.006477112
Adams St & 11 St,0.006467401
Bergen Ave,0.006302317
Fairmount Ave,0.00562256
Montgomery St,0.005612849
Christ Hospital,0.005583717
Astor Place,0.005340947
Heights Elevator,0.005321525
Lincoln Park,0.005311814
Leonard Gordon Park,0.005107887
Communipaw & Berry Lane,0.004039698
5 Corners Library,0.003612422
Glenwood Ave,0.003301676
Union St,0.002728738
Dey St,0.002670473
Jackson Square,0.001815922
Bergen Ave & Stegman St,0.001456622
Grant Ave & MLK Dr,0.000689468
JCBS Depot,9.71E-06